R.1,R.2,R.3,score,rebuild
0.43,0.53,0.04,-0.32194,FALSE
0.42,0.54,0.04,-0.3186,FALSE
0.41,0.55,0.04,-0.31526,FALSE
0.4,0.56,0.04,-0.31192,FALSE
0.39,0.57,0.04,-0.30858,FALSE
0.38,0.58,0.04,-0.30524,FALSE
0.37,0.59,0.04,-0.3019,FALSE
0.36,0.6,0.04,-0.29856000000000005,FALSE
0.35,0.61,0.04,-0.29522000000000004,FALSE
0.34,0.62,0.04,-0.29188000000000003,FALSE
0.33,0.63,0.04,-0.28854,FALSE
0.32,0.64,0.04,-0.2852,FALSE
0.31,0.65,0.04,-0.28186,FALSE
0.3,0.66,0.04,-0.27852,FALSE
0.29,0.67,0.04,-0.27518,FALSE
0.28,0.68,0.04,-0.27183999999999997,FALSE
0.27,0.69,0.04,-0.2685,FALSE
0.26,0.7,0.04,-0.26516,FALSE
0.25,0.71,0.04,-0.26182000000000005,FALSE
0.24,0.72,0.04,-0.25848000000000004,FALSE
0.23,0.73,0.04,-0.25514000000000003,FALSE
0.22,0.74,0.04,-0.2518,FALSE
0.21,0.75,0.04,-0.24846000000000001,FALSE
0.2,0.76,0.04,-0.24512,FALSE
0.19,0.77,0.04,-0.24178,FALSE
0.18,0.78,0.04,-0.23843999999999999,FALSE
0.17,0.79,0.04,-0.23509999999999998,FALSE
0.16,0.8,0.04,-0.23175999999999997,FALSE
0.15,0.81,0.04,-0.22841999999999996,FALSE
0.14,0.82,0.04,-0.22508,FALSE
0.13,0.83,0.04,-0.22174,FALSE
0.12,0.84,0.04,-0.21839999999999998,FALSE
0.11,0.85,0.04,-0.21506000000000003,FALSE
0.1,0.86,0.04,-0.21172000000000002,FALSE
0.09,0.87,0.04,-0.20838,FALSE
0.08,0.88,0.04,-0.20504,FALSE
0.07,0.89,0.04,-0.2017,FALSE
0.06,0.9,0.04,-0.19835999999999998,FALSE
0.05,0.91,0.04,-0.19501999999999997,FALSE
